Rank,Player,HALF,PPR,POS
1,Trey McBride,49,52,TE
2,Brock Bowers,45,48,TE
3,Tucker Kraft,33,36,TE
4,Tyler Warren,32,35,TE
5,George Kittle,32,34,TE
6,Sam LaPorta,24,27,TE
7,Jake Ferguson,23,26,TE
8,Juwan Johnson,21,24,TE
9,Dalton Kincaid,20,22,TE
10,Travis Kelce,18,20,TE
11,T.J. Hockenson,18,20,TE
12,Mark Andrews,18,20,TE
13,Zach Ertz,17,19,TE
14,Hunter Henry,16,18,TE
15,Harold Fannin Jr.,15,17,TE
16,Kyle Pitts Sr.,14,16,TE
17,David Njoku,13,15,TE
18,Dallas Goedert,12,14,TE
19,Brenton Strange,11,13,TE
20,Chig Okonkwo,10,12,TE
21,Isaiah Likely,9,11,TE
22,Jonnu Smith,8,9,TE
23,Colston Loveland,7,8,TE
24,Mason Taylor,7,8,TE
25,Dalton Schultz,6,7,TE
26,Cade Otton,6,7,TE
27,Pat Freiermuth,4,5,TE
28,Evan Engram,4,5,TE
29,Ja'Tavion Sanders,3,4,TE
30,Theo Johnson,3,4,TE
31,Mike Gesicki,3,4,TE
32,Oronde Gadsden II,2,3,TE
33,Cole Kmet,1,2,TE
34,Darren Waller,1,1,TE
35,Noah Fant,1,1,TE
36,Jake Tonges,1,1,TE
37,Elijah Arroyo,1,1,TE
38,AJ Barner,1,1,TE
39,Tyler Higbee,1,1,TE
40,Tommy Tremble,1,,TE